i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,
-31355.6,-32707.6,-31620.6,-15158.6,13546.4,33552.4,36249.4,32508.4,11419.4,-16433.6,
-32682.9,-31679.9,-15599.9,13077.1,33342.1,36260.1,32669.1,11842.1,-15976.9,-31250.9,
-30281.3,-32645.3,-32260.3,-19806.3,8466.703,31373.7,36226.7,34282.7,16158.7,-11515.3,
-32685.4,-31826.4,-16518.4,12174.6,33045.6,36254.6,33053.6,12727.6,-15128.4,-31097.4,
-31268.3,-32689.3,-31695.3,-15613.3,13096.7,33369.7,36251.7,32689.7,11869.7,-16011.3,
-30856.1,-32658.1,-31980.1,-17648.1,10936.9,32505.9,36252.9,33504.9,13875.9,-13934.1,
-31174.4,-32676.4,-31768.4,-16114.4,12594.6,33182.6,36253.6,32865.6,12350.6,-15513.4,
-31312.4,-32686.4,-31617.4,-15377.4,13357.6,33499.6,36258.6,32551.6,11604.6,-16278.4,
-31036.7,-32676.7,-31858.7,-16808.7,11899.3,32920.3,36250.3,33171.3,13019.3,-14879.7,
-31458.8,-32692.8,-31424.8,-14282.8,14466.2,33838.2,36256.2,32086.2,10510.2,-17297.8,
-31350.1,-32701.1,-31564.1,-15030.1,13694.9,33609.9,36249.9,32420.9,11254.9,-16585.1,
-31552.4,-32723.4,-31233.4,-13448.4,15227.6,34121.6,36251.6,31707.6,9674.602,-18025.4,
-31587.8,-32727.8,-31187.8,-13208.8,15489.2,34196.2,36235.2,31584.2,9449.203,-18241.8,
-32789.0,-29990.0,-8946.0,19279.0,35209.0,36212.0,29348.0,5282.0,-21633.0,-31972.0,
-32003.9,-32794.9,-29829.9,-8495.898,19678.1,35290.1,36201.1,29065.1,4873.102,-21982.9,
-32022.4,-32784.4,-29804.4,-8360.398,19786.6,35331.6,36207.6,29005.6,4722.601,-22082.4,
-32792.0,-29831.0,-8479.0,19710.0,35308.0,36204.0,29069.0,4841.0,-22006.0,-32024.0,
-32778.6,-28975.6,-6237.602,21578.4,35632.4,36184.4,27656.4,2640.399,-23540.6,-32159.6,
-32217.9,-32766.9,-28609.9,-5383.898,22309.1,35741.1,36155.1,27081.1,1829.102,-24136.9,
-32772.0,-28542.0,-5220.0,22444.0,35791.0,36161.0,26988.0,1616.0,-24252.0,-32214.0,
-32743.9,-27037.9,-2059.898,24915.1,36032.1,36009.1,24771.1,-1424.899,-26092.9,-32367.9,
-32728.0,-26741.0,-1564.0,25262.0,36077.0,35957.0,24356.0,-1921.0,-26317.0,-32381.0,
-32638.0,-25080.0,1329.0,27326.0,36168.0,35683.0,22126.0,-4717.0,-27735.0,-32462.0,
-26790.6,-21136.6,-6917.602,9772.399,22484.4,26546.4,20689.4,7071.398,-9328.601,-22390.6,
-32449.5,-32542.5,-24095.5,2657.5,27965.5,36195.5,35476.5,20878.5,-5948.5,-28137.5,
-32637.1,-32489.1,-22195.1,6043.899,30471.9,36174.9,35085.9,18646.9,-9376.101,-29726.1,
-32680.9,-32215.9,-19077.9,10028.1,32421.1,36198.1,34129.1,15225.1,-13245.9,-30780.9,
-32657.9,-32370.9,-20560.9,8247.102,31596.1,36194.1,34622.1,16801.1,-11529.9,-30340.9,
-32676.8,-32203.8,-19073.8,10030.2,32391.2,36199.2,34138.2,15223.2,-13260.8,-30766.8,
-32786.7,-31067.7,-12215.7,17050.3,34815.3,36195.29,31284.3,8280.296,-19774.7,-31780.7,
-32123.4,-18274.4,10912.6,32771.6,36202.6,33838.6,14390.6,-14107.4,-30936.4,-32674.4,
-32698.7,-31944.7,-16941.7,12410.3,33392.3,36216.3,33365.29,12964.3,-15557.7,-31205.7,
-32706.8,-31873.8,-16373.8,13035.2,33581.2,36207.2,33180.2,12381.2,-16148.8,-31281.8,
-32694.5,-31861.5,-16354.5,13032.5,33597.5,36221.5,33143.5,12362.5,-16147.5,-31299.5,
-32740.5,-31420.5,-13855.5,15544.5,34421.5,36197.5,32047.5,9867.499,-18442.5,-31619.5,
-32787.2,-30950.2,-11823.2,17419.8,34918.8,36186.8,31107.8,7859.797,-20130.2,-31802.2,
-30868.7,-11393.7,17806.3,35004.3,36179.3,30905.3,7461.297,-20468.7,-31820.7,-32804.7,
-32825.4,-29000.4,-5696.398,22683.6,35871.6,36130.6,27639.6,1877.602,-24437.4,-32243.4,
-32804.8,-27754.8,-2850.797,24898.2,36037.2,36076.2,25732.2,-882.7969,-26061.8,-32388.8,
-29415.8,-6813.797,21783.2,35755.2,36146.2,28315.2,2973.203,-23753.8,-32168.8,-32820.8,
-32785.3,-26887.3,-1131.297,26149.7,36099.7,35975.7,24536.7,-2540.297,-26974.3,-32443.3,
-27219.4,-1756.398,25728.6,36084.6,36032.6,24984.6,-1951.398,-26688.4,-32414.4,-32800.4,
-26324.8,-130.7969,26849.2,36109.2,35935.2,23756.2,-3504.797,-27433.8,-32497.8,-32757.79,
-22506.4,5803.602,30424.6,36169.6,35159.6,18960.6,-9226.398,-29688.4,-32603.4,-32493.4,
-32581.8,-23645.8,4164.203,29525.2,36148.2,35448.2,20320.2,-7639.797,-29156.8,-32581.8,
-32629.6,-24256.6,3267.399,28987.4,36147.4,35577.4,21061.4,-6787.601,-28819.6,-32547.6,
-32300.9,-20173.9,8843.102,31919.1,36191.1,34496.1,16344.1,-12166.9,-30505.9,-32645.9,
-32253.0,-19764.0,9318.0,32155.0,36202.0,34348.0,15904.0,-12636.0,-30627.0,-32647.0,
-19334.4,9783.602,32344.6,36193.6,34231.6,15450.6,-13061.4,-30725.4,-32646.4,-32236.4,
-31699.5,-15332.5,14123.5,34004.5,36204.5,32760.5,11296.5,-17226.5,-31422.5,-32708.5,
-16026.9,13411.1,33739.1,36207.1,33012.1,12007.1,-16516.9,-31316.9,-32699.9,-31815.9,
-31348.2,-13610.2,15839.8,34513.8,36195.8,31961.8,9574.797,-18763.2,-31625.2,-32739.2,
-31402.9,-13728.9,15700.1,34477.1,36190.1,32053.1,9690.102,-18626.9,-31604.9,-32746.9,
-31112.3,-12437.3,16961.7,34812.7,36197.7,31417.7,8412.704,-19780.3,-31719.3,-32753.3,
-30414.4,-9765.399,19367.6,35348.6,36160.6,30053.6,5812.602,-21799.4,-31950.4,-32813.4,
-28944.9,-5524.898,22920.1,35864.1,36125.1,27568.1,1653.102,-24616.9,-32216.9,-32826.9,
-29114.4,-5976.398,22526.6,35836.6,36121.6,27837.6,2110.601,-24320.4,-32203.4,-32818.4,
-29176.5,-6177.5,22417.5,35834.5,36127.5,27934.5,2292.5,-24255.5,-32177.5,-32819.5,
-27852.0,-3044.0,24870.0,36029.0,36071.0,25907.0,-772.0,-26062.0,-32337.0,-32810.0,
1538.797,27905.8,36137.8,35774.8,22429.8,-5153.203,-28109.2,-32467.2,-32671.2,-25386.2,
-7848.797,7617.203,19934.2,24573.2,20035.2,7994.203,-7163.797,-19775.8,-24916.8,-20448.8,
-6860.297,8714.703,20717.7,24787.7,19551.7,7029.703,-8279.297,-20619.3,-25093.3,-19949.3,
-15038.2,7692.796,26584.8,34614.8,29371.8,12780.8,-9254.203,-26895.2,-30745.2,-29112.2,
-19980.0,7217.0,30112.0,36295.0,33965.0,16199.0,-10390.0,-29423.0,-32169.0,-31826.0,
-17477.0,10044.0,31612.0,36304.0,32971.0,13632.0,-13166.0,-30224.0,-32186.0,-31510.0,
-14989.4,12640.6,32794.6,36319.6,31867.6,11148.6,-15689.4,-30788.4,-32214.4,-31089.4,
-16046.5,11593.5,32330.5,36304.5,32359.5,12173.5,-14670.5,-30567.5,-32193.5,-31283.5,
